No.,주문번호,상품명,상품번호,옵션명,"구	매	자",결제일자,주문상태,상품가격,건수,판매가격,결제수수료
100,20879972370,에나멜 슬립온,274299515,color: 카키 / size: 235,"전	*	해",2015-02-08 22:56,구매확정,48000,1,48000,1795
101,20980127500,로리 원피스,276469460,color: 소라,"이	*	덕",2015-02-09 0:58,구매확정,58000,1,58000,2169
102,20980209270,로리 원피스,276469460,color: 소라,"김	*	혜",2015-02-09 3:54,구매확정,58000,1,58000,2168
103,20980321900,쟈가드 자켓,275180418,color: F,"정	*	은",2015-02-09 9:48,구매확정,81000,1,81000,3029
104,20980258500,쟈가드 자켓,275180418,color: F,"김	*	혜",2015-02-09 10:02,구매확정,81000,1,81000,275
105,20980879760,에나멜 슬립온,274299515,color: 네이비 / size: 230,"조	*	라",2015-02-09 15:36,구매확정,48000,1,48000,1540
106,20980904170,스트라이프 티셔츠,276030984,color: 아이보리,"유	*	혜",2015-02-09 15:51,구매확정,22000,1,22000,822
107,20981242660,쟈가드 자켓,275180418,color: F,"박	*	지",2015-02-09 20:16,구매확정,81000,1,81000,3029
108,20981413630,워싱 스키니,276034220,size: 27,"양	*	나",2015-02-09 22:22,구매확정,38000,1,38000,275
109,20981461040,쟈가드 자켓,275180418,color: F,"정	*	옥",2015-02-09 22:51,구매확정,81000,1,81000,3029
110,20980374650,쟈가드 자켓,275180418,color: F,"김	*	영",2015-02-10 12:02,구매확정,81000,1,81000,275
111,20879850000,퍼프 블라우스,275184833,color: white,"XU	*	HUA",2015-02-10 14:27,구매확정,49000,1,49000,275
112,20879891550,슬림 슬랙스,273125800,color: 챠콜 / size: S,"김	*	연",2015-02-10 21:35,구매확정,35000,1,35000,275
113,21082994180,쟈가드 자켓,275180418,color: F,"변	*	영",2015-02-10 22:31,구매확정,81000,1,81000,3028
114,21183226490,쟈가드 자켓,275180418,color: F,"김	*	영",2015-02-11 1:18,구매확정,81000,1,81000,3029
115,21183316510,체크 원피스,277147934,color: 네이비,"구	*	민",2015-02-11 6:54,구매확정,42000,1,42000,1570
116,21082911090,패턴 블라우스,273199995,color: 네이비,"신	*	실",2015-02-11 13:33,구매확정,49000,1,49000,275
117,21183426420,롱 퍼프 가디건,277157817,color: 베이지,"김	*	선",2015-02-11 13:57,구매확정,73000,1,73000,275
118,21184081780,폴인 가디건,274292797,color: 베이지,"윤	*	영",2015-02-11 16:25,반품,91000,1,91000,3403
119,21184451060,패턴 블라우스,273199995,color: 네이비,"차	*	하",2015-02-11 21:16,구매확정,49000,1,49000,1832
120,21184658270,리얼웨이 니트,276472126,color: 카키,"서	*	애",2015-02-11 23:38,구매확정,51000,1,51000,1963
121,21284894850,슬림 슬랙스,273125800,color: 블랙 / size: S,"김	*	주",2015-02-12 9:09,구매확정,35000,1,35000,275
